,Name,Status,District,Population_1991,Population_2001,Population_2011
0,Abiramam,Panchayat,Ramanathapuram,...,"6,638","8,144"
1,Achampudur,Panchayat,Tirunelveli,...,"12,406","13,566"
2,Acharapakkam,Panchayat,Kanchipuram,...,"9,023","10,362"
3,Achipatti,Census Town,Coimbatore,...,"7,448","9,849"
4,Adaikkakuzhi,Census Town,Kanniyakumari,...,...,"8,888"
5,Adikaratti,Panchayat,The Nilgiris,...,"16,003","14,178"
6,Adiramapattinam (Adirampattinam),Panchayat,Thanjavur,"26,645","27,657","31,066"
7,Adiyanuthu,Census Town,Dindigul,...,"11,887","17,851"
8,Aduthurai (Maruthuvakudi),Panchayat,Thanjavur,...,"11,479","11,705"
9,Agaram,Panchayat,Dindigul,...,"12,784","15,610"
10,Agastheeswaram,Panchayat,Kanniyakumari,...,"8,995","9,717"
11,Alagappapuram (Azhagappapuram),Panchayat,Kanniyakumari,...,"8,121","9,626"
12,Alamathi,Census Town,Thiruvallur,...,"5,812","7,424"
13,Alamelumangapuram,Census Town,Vellore,...,"5,368","7,900"
14,Alampalayam,Panchayat,Namakkal,...,"15,255","20,286"
15,Alandur,Municipality,Kanchipuram,"125,244","146,287","164,430"
16,Alanganallur,Panchayat,Madurai,...,"11,078","12,331"
17,Alangayam,Panchayat,Vellore,...,"16,851","18,327"
18,Alangudi,Panchayat,Pudukkottai,"10,882","10,761","12,367"
19,Alangulam,Census Town,Virudhunagar,...,"4,969","4,930"
20,Alangulam,Panchayat,Tirunelveli,...,"17,923","20,948"
21,Alanthurai,Panchayat,Coimbatore,...,"7,130","7,221"
22,Alapakkam,Census Town,Kanchipuram,...,"5,015","9,404"
23,Allapuram,Panchayat,Vellore,"21,424","26,948","31,211"
24,Alur (Aloor),Panchayat,Kanniyakumari,...,"12,379","15,063"
25,Alwarkurichi,Panchayat,Tirunelveli,...,"9,459","10,045"
26,Alwarthirunagiri,Panchayat,Thoothukkudi,...,"8,883","9,289"
27,Amathur,Census Town,Virudhunagar,...,"4,163","4,708"
28,Ambasamudram,Municipality,Tirunelveli,"33,893","32,739","35,645"
29,Ambattur,Municipality,Thiruvallur,"215,424","310,967","466,205"
30,Ambur,Municipality,Vellore,"75,911","99,624","114,608"
31,Ammainaickanur,Panchayat,Dindigul,...,"16,604","19,257"
32,Ammanur,Census Town,Vellore,...,"4,903","7,731"
33,Ammapattinam,Census Town,Pudukkottai,...,...,"6,652"
34,Ammapettai,Panchayat,Erode,...,"9,259","9,677"
35,Ammapettai,Panchayat,Thanjavur,...,"13,901","14,572"
36,Ammavarikuppam,Census Town,Thiruvallur,"7,552","9,384","10,750"
37,Ammoor,Panchayat,Vellore,...,"11,296","12,513"
38,Anaimalai,Panchayat,Coimbatore,...,"16,467","17,208"
39,Anaiyur,Municipality,Madurai,"17,659","38,310","63,917"
40,Anaiyur,Census Town,Virudhunagar,...,"19,898","24,436"
41,Anakaputhur,Municipality,Kanchipuram,"24,345","31,918","48,050"
42,Ananthapuram,Panchayat,Viluppuram,...,"6,138","6,892"
43,Andankoil East,Census Town,Karur,...,"19,779","19,779"
44,Andipalayam,Census Town,Tiruppur,...,"11,350","25,539"
45,Andipatti Jakkampatti,Panchayat,Theni,"19,153","23,002","27,287"
46,Anjugrammam (Anjugramam),Panchayat,Kanniyakumari,...,"9,353","10,982"
47,Annalagraharam,Census Town,Thanjavur,...,"6,266","11,129"
48,Annamalai Nagar,Panchayat,Cuddalore,"9,209","10,062","16,289"
49,Annavasal,Panchayat,Pudukkottai,...,"7,657","8,906"
50,Annur,Panchayat,Coimbatore,"13,851","18,052","20,079"
51,Anthiyur,Panchayat,Erode,"24,141","20,071","21,086"
52,Anuppankulam,Census Town,Virudhunagar,...,"10,990","13,526"
53,Appakudal,Panchayat,Erode,...,"9,522","10,610"
54,Arachalur,Panchayat,Erode,...,"12,343","12,034"
55,Arakandanallur,Panchayat,Viluppuram,"4,566","4,405","5,713"
56,Arakonam (Arakkonam),Municipality,Vellore,"71,928","78,686","78,395"
57,Aralvaimozhi,Panchayat,Kanniyakumari,...,"19,211","22,846"
58,Arani,Panchayat,Thiruvallur,"11,422","12,614","12,833"
59,Arani (Arni),Municipality,Tiruvannamalai,"54,898","60,815","63,671"
60,Aranthangi,Municipality,Pudukkottai,"30,327","34,134","40,814"
61,Arasiramani,Panchayat,Salem,...,"13,815","14,834"
62,Arasur,Census Town,Coimbatore,...,"8,689","11,510"
63,Aravakurichi,Panchayat,Karur,...,"11,519","12,412"
64,Aravankad (Aruvankadu),Panchayat,The Nilgiris,"5,562","5,309","4,438"
65,Arcot,Municipality,Vellore,"45,205","49,953","55,955"
66,Arimalam,Panchayat,Pudukkottai,...,"7,819","8,948"
67,Ariyalur,Municipality,Ariyalur,"24,141","27,822","28,902"
68,Ariyappampalayam,Panchayat,Erode,...,"12,462","15,706"
69,Ariyur,Census Town,Vellore,...,"5,404","7,251"
70,Arumanai,Panchayat,Kanniyakumari,...,"15,071","16,283"
71,Arumbanur,Census Town,Madurai,...,...,"6,148"
72,Arumbavur,Panchayat,Perambalur,...,"11,695","12,467"
73,Arumuganeri,Panchayat,Thoothukkudi,"23,453","24,856","27,266"
74,Aruppukkottai,Municipality,Virudhunagar,"78,976","84,029","87,722"
75,Asaripallam,Panchayat,Kanniyakumari,...,"12,755","16,822"
76,Ashokapuram,Census Town,Coimbatore,"6,306","9,394","12,993"
77,Athani,Panchayat,Erode,...,"8,423","8,430"
78,Athanur,Panchayat,Namakkal,...,"9,377","9,827"
79,Athimarapatti,Census Town,Thoothukkudi,...,"18,767","22,218"
80,Athipatti,Census Town,Virudhunagar,...,...,"8,384"
81,Athipattu,Census Town,Thiruvallur,...,"8,513","11,034"
82,Athivilai,Census Town,Kanniyakumari,...,...,"7,401"
83,Athur,Panchayat,Thoothukkudi,...,"9,464","10,138"
84,Athur,Panchayat,Kanniyakumari,...,"11,744","11,910"
85,Attayampatti,Panchayat,Salem,"10,835","12,698","13,852"
86,Attur,Municipality,Salem,"55,667","57,519","61,793"
87,Avadattur,Census Town,Salem,...,"8,976","9,869"
88,Avadi,Municipality,Thiruvallur,"183,215","229,403","345,996"
89,Avalapalli,Census Town,Krishnagiri,...,"10,342","17,859"
90,Avalpoondurai,Panchayat,Erode,...,"11,243","11,789"
91,Avanashi (Avinashi),Panchayat,Tiruppur,"17,273","22,336","28,868"
92,Avaniapuram,Municipality,Madurai,"35,810","53,006","89,635"
93,A. Vellalapatti (Vellalapatti),Panchayat,Madurai,...,"7,088","8,325"
94,Ayacode,Census Town,Kanniyakumari,...,...,"8,874"
